,À propos de Roud,B. Gr.,"Un grand événement littéraire, Pierre Seghers vient d'éditer un ""Gustave Roud"", présenté par Philippe Jaccottet",La Nouvelle Revue de Lausanne,,,,,,1968-03-11,,,Pas fait,,,"Non (IS 5178 VIII…, Raphaël Aubert)"
,À propos de Roud,Béguin Albert,Gustave Roud ou la poésie en quête du paradis terrestre,Labyrinthe,,,7,,,,p. 7,,,,,Fonds Hans Grossrieder (BCUFR)
,À propos de Roud,Bergé René,"Gustave Roud, l'exercice de la solitude",Pour l'Art,,,16,,,1951-01(-02),p. 15-19,,,,,
,À propos de Roud,Blanc Maurice,Un poète de la terre vaudoise,Illustré,,,43,,,1942-10-22,p. 5 et 19,,,,,
332,Traduction,Boller Willy,Les surimonos d'Hokusaï,La Guilde du Livre,,,10,,,1955-10,p. 387-388,"Tiré de Hokusaï, Maître de l'Estampe japonaise, avec de petites variations. La seconde partie du texte est reprise à la fin de ""La vie et l'œuvre de Hokusaï"" (Guilde, nov. 1955).",Fait,,,Non (mais dans boîte La Guilde du Livre)
334,Traduction,Boller Willy,La Vie et l'Œuvre de Hokusaï,La Guilde du Livre,,,11,,,1955-11,p. 402-404,"Tiré de Hokusaï, Un maître de l'estampe japonaise, avec de petites variations. La fin propose un passage déjà traduit dans ""Les surimonos d'Hokusaï"" (Guilde, oct. 1955). Les trois derniers § relèvent manifestement d'une erreur de mise en page: nous les avons supprimés de notre retranscription.",Fait,,,Non (mais dans boîte La Guilde du Livre)
335,Traduction,Boller Willy,La technique de l'estampe en couleurs,La Guilde du Livre,,,12,,,1955-12,p. 478-479,"Tiré de Hokusaï, Un maître de l'estampe japonaise. (Il s'agit de la fin)",Fait,,,Non (mais dans boîte La Guilde du Livre)
,À propos de Roud,Bonnard Olivier,"Gustave Roud, Campagne perdue (rubrique ""Moments littéraires"")",Gazette de Lausanne,,,,,,1972-09-16(-18),,,,,,Fonds Daniel Simond
,À propos de Roud,Borgeaud Georges,La montée à Carrouge,Repères,,,3,,,1982,,,,,,Oui
,À propos de Roud,Boulanger Mousse,"Gustave Roud, 1897-1976",Voix des lettres,,,25,,,1986-12,p. 36-37,,,,,
,À propos de Roud,Bounoure Gabriel,"Adieu, par Gustave Roud",La Nouvelle Revue Française,,,179,,,1928-08-01,p. 296-298,,,,,Oui
488,Traduction,Brentano Clemens,Myrte bien aimé…,Pour l'Art,,,4,,,1949-07(-08),p. 12,"[Selon André Malraux…], avant-propos. Repris dans Gustave Roud, Béguin Albert, Lettres sur le romantisme allemand; Le Romantisme allemand, dir. Béguin Albert; Cahiers Gustave Roud 3.",Fait + photocopié,,,Non
,À propos de Roud,Bridel Yves,Gustave Roud,Feuille centrale de Zofingue,,,4,,,1953-03,p. 203-226,,,,,Oui
,À propos de Roud,Bucher Werner,"Begegnung mit Gustave Roud, dem Dichter des Jorat",Neue Zürcher Nachrichten,,,40,,,1968-02-17,,,,,,"Fonds ALS, SSV 01-b-01-1946"
,À propos de Roud,Chastonay Jacques de,"Une fatalité de solitude, Gustave Roud",Dialogue,,,2,,,1967-05,p. 3,,,,,Fonds Daniel Simond
,À propos de Roud,Chessex Jacques,"Gustave Roud, par Jacques Chessex",La Gazette littéraire,,,171,,,1956-07-21(-22),p. 1,,,,,Fonds Daniel Simond
,À propos de Roud,Chessex Jacques,Ode à Gustave Roud,Gazette de Lausanne,,,265,,,1976-11-13,,Un poème de Jacqus Chessex.,,,,
,À propos de Roud,Clerc Charly,"Aus dem westschweizerischen Literaturkreis, Gustave Roud",Neue Zürcher Zeitung,,,,,,1957-08-04,,,,,,Fonds Daniel Simond
,À propos de Roud,Collectif,"Approches de l'œuvre de Roud, Actes du Colloque de Lausanne",Cahiers Gustave Roud,,présentation par Doris Jakubec,5,Lausanne et Carrouge,Association des Amis de Gustave Roud,1987,,,,,,
498,À propos de Roud,Collectif,Gustave Roud (section),Europe,,"José-Flore Tappy, "" État de veille "", p. 3-6 ; Jaquier Claire, "" Gustave Roud, poète du XXe siècle "", p. 7-16 ; Philippe Jaccottet, "" Recherche d'une poétique "", p. 29-31, et "" Ce qu'on arrache à la brume "", p. 32-39 ; Alain Lévêque, "" Une quête de l'être au monde "", p. 43-57 ; Antonio Rodriguez, "" L'ouverture érotique du paradis "", p. 58-67 ; Martine Creac'h, "" Ombre et clartés "", p. 68-84 ; Aline Bergé, "" Depuis la houle "", p. 85-93 ; Pierre-Albert Jourdan, "" Gustave Roud, la maturité "", p. 94-107 ; Daniel Maggetti, "" La poésie en élégie d'elle-même "", p. 116-119 ; Pascal Commère, "" Quelque chose de perdu "", p. 120-133 ; Claude Dourguin, "" Ici-bas déjà "", p. 134-139 ; Dominique Kunz-Westerhoff, "" De l'optique au lyrique "", p. 150-173 ; Anne-Lise Delacrétaz, "" Sur la réédition du Journal "", p. 174-178 ; Yves Leclair, "" Sur un air de Solitude "", p. 184-187.",882,,,2002,p. 3-187,,,,,
,À propos de Roud,Collectif,Gustave Roud et Philippe Jaccottet: quelle filiation littéraire ?,Cahiers Gustave Roud,,"éd. Claire Jaquier, Daniel Maggetti et Antonio Rodriguez",15,Lausanne et Carrouge,Association des Amis de Gustave Roud,2014,,,,,,
,À propos de Roud,Collectif,En hommage à Gustave Roud,Pour l'Art,,,54,,,1957-05(-06),Tout le numéro,,,,,
,À propos de Roud,Collectif,Hommage à Gustave Roud,La Gazette littéraire,,"Jean Paulhan, Philippe Jaccottet, Pierre-Louis Matthey, Ernest Ansermet, C.-F. Landry, Jacques Chessex.",139,,,1957-06-15(-16),p. 9 et 16,"Avec une photographie de Gustave Roud, un repas paysan.",,,,
,À propos de Roud,Collectif,"Gustave Roud a septante ans aujourd'hui, L'hommage de quelques amis",Feuille d'Avis de Lausanne,,"Textes du Dr Jean Bovey, Henri Gaberel, Suzanne Deriex, Jean Pache et Perrochon Henri",,,,1967-04-20,,,,,,Oui
,À propos de Roud,Collectif,Pages spéciales Gustave Roud,La Gazette littéraire,,"Textes de Marcel Raymond ""La poésie de Gustave Roud"", Yves Velan ""Parfois s'élève un chant si pur, si libre, qu'on le dirait naturel…"", Philippe Jaccottet ""Hommage à Gustave Roud"", Jacques Chessex ""Il est un pays que vous nous avez donné"", Maurice Chappaz ""Conseil d'un chien à une sainte"", Jacqueline Langmann ""L'horoscope de Gustave Roud"" Numéro réalisé pour le 70e anniversaire de Roud. Contient également le début de Requiem (Payot, 1967), avec une seule différence : ""des oiseaux la blessent parfois"" (dans le recueil : ""des oiseaux parfois la blessent"").",,,,1967-04-22(-23),s. n. p.,,Fait,,,Non
,À propos de Roud,Collectif,[Cahier spécial en hommage à Gustave Roud],La Gazette littéraire,,"Numéro réalisé pour le 70e anniversaire de Roud. Contient également le début de Requiem (Payot, 1967), avec une seule différence : ""des oiseaux la blessent parfois"" (dans le recueil : ""des oiseaux parfois la blessent""). Avec également des photographies de Gustave Roud.",93,,,1967-04-22(-23),s.n.p.,Avec quatre photographies de Gustave Roud.,,,,
,À propos de Roud,Collectif,[Cahier spécial en hommage à Gustave Roud],La Gazette littéraire,,"Numéro réalisé pour le 70e anniversaire de Roud. Contient également le début de Requiem (Payot, 1967), avec une seule différence : ""des oiseaux la blessent parfois"" (dans le recueil : ""des oiseaux parfois la blessent""). Avec également des photographies de Gustave Roud.",93,,,1967-04-22(-23),s.n.p.,Avec quatre photographies de Gustave Roud.,,,,
,À propos de Roud,Collectif,Hommages à Gustave Roud,Gazette de Lausanne,,"Georges Anex, John E. Jackson, Pierre-Alain Tache, Doris Jakubec, Anne Perrier, Steven-Paul Robert, Jacques Chessex.",271,,,1976-11-20(-21),"p. 13, 15",,,,,
,À propos de Roud,Collectif,Autour de Gustave Roud,Solaire,,"Béguin Albert, ""G. Roud, ou la poésie en quête du paradis perdu"", Philippe Jaccottet ""La route, ma seule patrie"", René Daillie ""Le frêne"", Pierre-Alain Tache ""La tentation du deuil"", Pierre-Albert Jourdant ""La transparence de l'aile"", Alain M.-Perdrillat ""La neige et le sang"", Jean Fusier ""À propos de Campagne perdue"", Claude Mettra ""Descendre le chemin""",17,,,1977-06,s.n.p.,,,,,
,À propos de Roud,Cornuz Jeanlouis,Écrits de Gustave Roud,Feuille d'Avis de Lausanne,,,,,,1950-11-18,p. 2,,,,,Fonds Daniel Simond
,À propos de Roud,d'Aguila Carlos,En ce pays,Le Démocrate et Feuille d'Avis du district de Payerne,,,97,,,1967-12-13,p. 14,"Critique de ""Requiem""",,,,Fonds Daniel Simond
,À propos de Roud,Delapierre Roger,Le prix de la Ville de Lausanne au poète joratien Gustave Roud,Journal de Genève,,,86,,,1967-04-14,p. 37,,,,,
,À propos de Roud,Deriex Suzanne,"Gustave Roud, ou l'approche d'un paradis",Feuille d'Avis de Vevey,,,,,,1967-03-07,p. 1,,,,,"Fonds ALS, SSV 01-b-01-1946"
,À propos de Roud,Deriex Suzanne,VIsite à Gustave Roud,L'Impartial,,,,,,1967-04-27,,,Pas fait,,,"Non (IS 5178 VIII…, Raphaël Aubert)"
100,Traduction,Dürer Albrecht,"[…J'ai tiré en portrait Monsieur Nicolas…] (rubrique ""Textes"")",Aujourd'hui,,,44,,,1930-10-02,p. 4-5,Extraits de Dürer: Journal de voyage dans les Pays-Bas.,Fait + photocopié,,,Non
,À propos de Roud,Ernest Dutoit,"""Requiem"" de Gustave Roud",La Liberté,,,,,,1968-11-30(-12-01),p. 17,,,,,Fonds Hans Grossrieder (BCUFR)
668,Traduction,Franz Werfel,"À une alouette, suivi de Elévation",Pour l'Art,,,33,,,1953-11(-12),p. 5-6,Repris dans Cahiers Gustave Roud 3.,Fait + photocopié,,,Non
,À propos de Roud,G.,Les meilleurs artistes vaudois rendent hommage au poète Gustave Roud,Tribune de Lausanne,,,,,,1957-06-09,p. 11,"Interview des organisateurs de la manifestations ""Fête des lettres Vaudoises""",,,,Fonds Daniel Simond
,À propos de Roud,G. R.,"Remise du Prix de Lausanne à G. Roud, Le poète rend hommage au Lausanne de sa jeunesse",Feuille d'Avis de Lausanne,,,85,,,1967-04-13,p.17,,,,,Fonds Daniel Simond
,À propos de Roud,G. R.,Gustave Roud fête ses 75 ans,Tribune de Lausanne,,,,,,1972-04-16,p. 7,,,,,Fonds Daniel Simond
,À propos de Roud,Gander Bernard,Rencontre avec Gustave Roud,La Nouvelle Revue de Lausanne,,,,,,1968-03-29,,,Pas fait,,,"Non (IS 5178 VIII…, Raphaël Aubert)"
,À propos de Roud,Garzarolli Richard,"Essais, chroniques et notes, un événement littéraire: Requiem par Gustave Roud",Revue de Belles-Lettres,,,4,,,1967,p. 32-34,,,,,Oui
327,Traduction,Geiser Bernhard,Naissance des premières eaux-fortes de Picasso,La Guilde du Livre,,,3,,,1955-03,p. 74-77,"Repris, avec quelques modifications, dans L'Œuvre gravé de Picasso",Fait,,,Oui
651,Traduction,Geiser Bernhard,[Picasso ne connaît nulle attache…],La Guilde du Livre,,,5,,,1955-05,p. 198-199,Tiré de L'Œuvre gravé de Picasso (avec quelques modifications),Pas fait,,,Non (mais dans boîte La Guilde du Livre)
329,Traduction,Geiser Bernhard,[Cette planche fut gravée…],La Guilde du Livre,,"Signé ""Rd""",6,,,1955-06,p. 219-221,Tiré de L'Œuvre gravé de Picasso,Fait,,,Non (mais dans boîte La Guilde du Livre)
652,Traduction,Geiser Bernhard,"Pablo Picasso, Dates biographiques",La Guilde du Livre,,,7,,,1955-07,p. 269-271,Tiré de L'Œuvre gravé de Picasso,Pas fait,,,Non (mais dans boîte La Guilde du Livre)
653,Traduction,Geiser Bernhard,"Pablo Picasso, Dates biographiques",La Guilde du Livre,,,8,,,1955-08,p. 316,Tiré de L'Œuvre gravé de Picasso,Pas fait,,,Non (mais dans boîte La Guilde du Livre)
654,Traduction,Geiser Bernhard,"Pablo Picasso, Dates biographiques (suite)",La Guilde du Livre,,,9,,,1955-09,p. 341,Tiré de L'Œuvre gravé de Picasso,Pas fait,,,Non (mais dans boîte La Guilde du Livre)
655,Traduction,Geiser Bernhard,"Pablo Picasso, Dates biographiques (suite)",La Guilde du Livre,,,10,,,1955-10,p. 376,Tiré de L'Œuvre gravé de Picasso,Pas fait,,,Non (mais dans boîte La Guilde du Livre)
656,Traduction,Geiser Bernhard,"Pablo Picasso, Dates biographiques (suite et fin)",La Guilde du Livre,,,11,,,1955-11,p. 414-415,Tiré de L'Œuvre gravé de Picasso,Pas fait,,,Non (mais dans boîte La Guilde du Livre)
336,Traduction,Geiser Bernhard,Picasso après le cubisme,La Guilde du Livre,,"Avec l'indication: ""Adaptation de Gustave Roud""",12,,,1955-12,p. 482-484,Tiré de L'Œuvre gravé de Picasso,Fait,,,Non (mais dans boîte La Guilde du Livre)
657,Traduction,Geiser Bernhard,Le malentendu,La Guilde du Livre,,,1,,,1956-01,p. 25,Tiré de L'Œuvre gravé de Picasso,Pas fait,,,Non (mais dans boîte La Guilde du Livre)
661,Traduction,Geiser Bernhard,[Durant un laps assez long…],La Guilde du Livre,,,10,,,1965-10,p. 374-376,Tiré de L'Œuvre gravé de Picasso (réimprimé cette année-là),Pas fait,,,Non (mais dans boîte La Guilde du Livre)
662,Traduction,Geiser Bernhard,Un jeu précis et silencieux,La Guilde du Livre,,,11,,,1965-11,p. 428-431,Tiré de L'Œuvre gravé de Picasso (réimprimé cette année-là),Pas fait,,,Non (mais dans boîte La Guilde du Livre)
650,Traduction,"Geiser Bernhard, Gotthelf Jeremias","Bernhard Geiser: ""Picasso illustrateur"". Jeremias Gotthelf: ""Jérémias Gotthelf: Colère d'Uli""",La Guilde du Livre,,"Geiser: Avec l'indication ""(Traduction Gustave Roud.)"" Gotthelf: Avec l'indication ""(Traduction Gustave Roud.)""",4,,,1955-04,p. 156-158 et 171-173,Picasso illustrateur: Tiré de L'Œuvre gravé de Picasso (avec quelques modifications).,Pas fait,,,Non (mais dans boîte La Guilde du Livre)
647,Traduction,Goethe,Goethe devant les paysages suisses,Gazette de Lausanne,,,,,,1949-08-27,,,Fait,,,Oui
,À propos de Roud,Gsteiger Manfred,"""Campagne perdue"", zur Dichter Gustave Roud",Neue Zürcher Zeitung,,,,,,1972-09-06,p. 23,,,,,"Fonds ALS, SSV 01-b-01-1946"
226,Traduction,Gudmundsson Kristmann,Visite de Hakon à Eialine malade,La Guilde du Livre,,,2,,,1943-02,p. 26-28,Traduction d'un fragment de Rive bleue de Kristmann Gudmundsson d'après la version allemande.,Fait,,,Oui
486,Traduction,Gudmundsson Kristmann,Hakon et Bjarne aux îles des Revenants,La Guilde du Livre,,,10,,,1944-10,p. 161-164,Traduction d'un fragment de Rive bleue de Kristmann Gudmundsson d'après la version allemande,Fait,,,Non (mais dans boîte La Guilde du Livre)
244,Traduction,Gudmundsson Kristmann,Retour,La Guilde du Livre,,,7,,,1945-07,p. 107-108,Traduction d'un fragment de Rive bleue de Kristmann Gudmundsson d'après la version allemande,Fait,,,Non (mais dans boîte La Guilde du Livre)
,À propos de Roud,H. S.,Des livres pour Noël,Feuille d'Avis du district d'Aigle,,,,,,1967-12-15,,,Pas fait,,,"Non (IS 5178 VIII…, Raphaël Aubert)"
,À propos de Roud,H. S.,"Requiem (rubrique ""Vient de paraître"")",Le Courrier de Berne,,,,,,1967-12-22,,,Pas fait,,,"Non (IS 5178 VIII…, Raphaël Aubert)"
667,Traduction,Hesse Hermann,"Vignes, lacs et montagnes, Nuit de foehn, Soir d'été devant une auberge tessinoise en forêt",Formes et couleurs,,,"11, 3",,,1951,s.n.p.,"Paru sous le titre général ""Trois poèmes inspirés par le Tessin"". Repris dans Cahiers Gustave Roud 3.",Fait + photocopié,,,Oui
,Traduction,Hölderlin Friedrich,Hölderlin,Formes et couleurs,,,"3, 4",,,1945,s.n.p.,"Extrait de l'introduction aux Poëmes de Hölderlin, Mermod, 1942. Contient des extraits de traduction des poèmes de Hölderlin par Gustave Roud.",Fait,,,Non / consultation sur place Riponne
250,Traduction,Hölderlin Friedrich,La Migration,Lettres,,,1,,,1946,p. 31-37,,Fait + photocopié,,,Oui
636,Traduction,Hölderlin Friedrich,Âges de la vie,Revue de Belles-Lettres,,,2,,,1968,p. 23,La version allemande est donnée en regard.,Pas fait (photocopié),,,Oui
104,Traduction,Hölderlin Friedrich,Solitude de Hölderlin,Aujourd'hui,,Avec une note de Gustave Roud,48,,,1930-10-30,p. 4-5,Hypérion à Bellarmin. Mémoire (Souvenir). Âges de la vie. Moitiés de la vie.,Fait + photocopié,,,Oui
,Traduction,Hölderlin Friedrich,"Poème, Sanatorium, Pain jeté (rubrique ""Notes"")",Aujourd'hui,,,49,,,1930-11-6,p. 3,"Contient ""Temps de la moisson"" de Hölderlin.",Fait + photocopié,,,Oui
478,Traduction,Hölderlin Friedrich,Le Rhin de Frédéric Hölderlin,Mesures,,,1,,,1940-01-15,p. 89-107,Cette pemière version publiée diffère légèrement de celle du volume de Mermod (1942). La version allemande est donnée en regard.,Fait,,,Oui
223,Traduction,Hölderlin Friedrich,"Hölderlin, ""Prière aux Parques"", ""Pardon imploré"", ""Le printemps"", ""L'été""",La Semaine littéraire,,,2,,,1942-12-19,p. 20-21,,Fait + photocopié,,,Oui
,Traduction,Hölderlin Friedrich,A.-J. Bataillard dialogue avec M. Gustave Roud,Joie. Journal pour les étudiants de la Suisse romande,,,1,,,1943-10,p. 6 et 12,"Contient une traduction par Roud de Hölderlin: ""Prière aux Parques"". (et une traduction par Pierre Jean Jouve dans la NRF, en 1929, de ""Moitié de la vie"").",Fait + photocopié,,,Oui
633,Traduction,Hölderlin Friedrich,Âges de la vie,Pour l'Art,,,2,,,1949-03(-04),p. 10,,Fait + photocopié,,,Non
658,Traduction,Huttinger Edouard,La peinture hollandaise du XVIIe siècle a-t-elle encore quelque chose à nous dire ?,La Guilde du Livre,,,12,,,1956-12,p. 494-496,Tiré de La Peinture hollandaise au XVIIe siècle.,Pas fait,,,Non (mais dans boîte La Guilde du Livre)
659,Traduction,Huttinger Edouard,La Peinture hollandaise,La Guilde du Livre,,,1,,,1957-1,p. 32-34,Tiré de La Peinture hollandaise au XVIIe siècle.,Pas fait,,,Non (mais dans boîte La Guilde du Livre)
660,Traduction,Huttinger Edouard,Vermeer ou la vie mystérieuse,La Guilde du Livre,,,12,,,1957-12,p. 486-487,Tiré de La Peinture hollandaise au XVIIe siècle.,Pas fait,,,Non (mais dans boîte La Guilde du Livre)
,À propos de Roud,I.d.B. Marie-Anne,"Gustave Roud, le chantre du Jorat",Feuille d'Avis de Lausanne,,,,,,1959-03-04,p. 4,"Avec une ou deux photographies de Gustave Roud,",,,,Fonds Daniel Simond
,À propos de Roud,Jaccottet Philippe,"Chronique de la faculté des lettres, Gustave Roud",Études de Lettres,,,,,,1977,p. 103-104,,,,,Oui
,À propos de Roud,Jaccottet Philippe,Écrits de Gustave Roud,La Nouvelle Revue de Lausanne,,,227,,,1950-09-29,p. 1,,,,,Fonds Daniel Simond
,À propos de Roud,Jaccottet Philippe,Promenade autour d'un promeneur,La Guilde du Livre,,,6,,,1957-06,p. 214-216,Texte de Jaccottet à l'occasion des 60 ans de Roud.,,,,Oui
,À propos de Roud,Jaccottet Philippe,Hommage à Gustave Roud,Pour l'Art,,,56,,,1957-09(-10),,,,,,
,À propos de Roud,Jaccottet Philippe,Gustave Roud et la Suisse française,La Gazette littéraire,,,,,,1967-11-25(-26),,,,,,Fonds Daniel Simond
,À propos de Roud,Jaccottet Philippe,Dernière visite à Roud,La Nouvelle Revue Française,,,290,,,1977-02,,,,,,Oui
,À propos de Roud,Jackson John E.,"Un double hommage de Gustave Roud: par trois de ses ""descendants"" et par une revue française",Journal de Genève,,,175,,,1977-07-30,p. 12,,,,,
,À propos de Roud,Jackson John E.,Roud: des mots pour suppléer le coeur,Journal de Genève,,,295,,,1982-12-18,p. 14,,,,,
,À propos de Roud,Jakubec Doris,Le premier témoignage français d'une véritable découverte du poète de Carrouge,Journal de Genève,,,175,,,1977-07-30,p. 12,,,,,
,À propos de Roud,Jaquier Claire,"Gustave Roud traducteur, Faire écho au poème original",Journal de Genève,,,295,,,1982-12-18,p. 14,,,,,
,À Propos de Roud traducteur,Jean Guérin,Sur les poèmes de Georg Trakl,La Nouvelle Nouvelle Revue Française,,,30,Paris,,1955-06,p. 1119-1121,"Note sur l'étude de Roud sur Trakl parue dans Formes et Couleurs en 1948 avec des traductions de Roud. Jean Guérin est un pseudonyme derrière lequel se cachent tous les membres du comité du prériodique, mais surtout Paulhan, comme c'est le cas ici.",Pas fait,,,Non
,À propos de Roud,Laederach Monique,La correspondance entre Martin Vio et Gustave Roud suscite la polémique,La Liberté,,,,,,1994-09-03(-04),p. 23,,,,,Fonds Hans Grossrieder (BCUFR)
,À propos de Roud,Landry Charles-François,Lettre à Gustave Roud que va honorer la Ville de Lausanne et qui fête ses septante ans,Feuille d'Avis de Lausanne,,,,,,1967-04-07,p. 41,,,,,Fonds Daniel Simond
,À propos de Roud,Le promeneur solitaire,"Retour au Jorat (rubrique ""Les quatre points cardinaux"")",Gazette de Lausanne,,,,,,1960-02-27,p. 3,,,,,Fonds Daniel Simond
648,Traduction,Leisinger Hermann,Les peintures étrusques de Tarquinia,La Guilde du Livre,,,10,,,1953-10,p. 254,,Pas fait,,Oui,Non (mais dans boîte La Guilde du Livre)
649,Traduction,Leisinger Hermann,Peinture étrusque,La Guilde du Livre,,,11,,,1953-11,p. 304,"Contient la note: ""Tiré de notre volume n° 198.",Pas fait,,,Non (mais dans boîte La Guilde du Livre)
,À propos de Roud,Lossier Jean-Georges,"Gustave Roud : ""Ivre d'une solitude qui me rendait le monde""",Journal de Genève,,,13,,,1967-04-15(-16),,,,,,
,À propos de Roud,Lossier Jean-Georges,Des ponts sur l'abîme,Journal de Genève,,,,,,1968-02-03,,,Pas fait,,,"Non (IS 5178 VIII…, Raphaël Aubert)"
,À propos de Roud,M.M.,"Ecrivains de chez nous, Gustave Roud [interview]",Organe de l'Association romande du personnel de la librairie et de l'édition (ARPLE),,,4,,,1968-09,p. 3-5,,,,,Fonds Daniel Simond
,À propos de Roud,Martin Annie,L'œuvre de Gustave Roud,L'Écho de la Broye,,,28-31-35,,,1950-06-04,,1950-06-04 et 1950-04-18 et 1950-05-02,,,,
,À propos de Roud,Martin Vio,"Le Repos du cavalier (rubrique ""Notes de lecture"")",Pour l'Art,,,64,,,1954,p. 36,,,,,
,À propos de Roud,Martin Vio,"A Gustave Roud, d'une terre bien aimée",Gazette de Lausanne,,,91,,,1967-04-20,p. 7,,,,,
,À propos de Roud,Martinet Édouard,"""Le repos du cavalier""",Tribune de Genève,,,,,,1959,,Trouvé dans le fonds la BCUL IS 1994/2 c/18,,,,
,À propos de Roud,Martinet Jean-Pierre,Le voyageur sur la terre,Matulu,,,17,,,1972,p. 6,,,,,
,À propos de Roud,Muret Colette,"Gustave Roud, poète vaudois",Gazette de Lausanne,,,107,,,1955-05-07(-08),p. 10,Reproduit une conversation avec le poète.,,,,
,À propos de Roud,Muret Colette,"Mort d'un grand poète vaudois, Gustave Roud n'est plus",Gazette de Lausanne,,,264,,,1976-11-12,p. 3,"Reprend une lettre que Gustave Roud avait adressé à la journaliste Colette Muret, au sujet d'un Cryptomeria du Japon. En page 7, de la même édition, un hommage de Doris Jakubec.",,,,Non
,À propos de Roud,Nicole Georges,"Poèmes de Hölderlin, version française de Gustave Roud",Suisse contemporaine,,,,,,1943-03,p. 282-283,,,,,Oui
,À propos de Roud,Nicole Georges,Chronique de la poésie,Suisse contemporaine,,,,,,1944-09,p. 950-954,,,,,Oui
409,À propos de Roud,Nicole Jean,Horizons d'une conscience poétique,Gazette de Lausanne,,,,,,1972-04-15(-16),p. 23,"Longs propos de Roud, recueillis par Jean Nicole",Fait,,,Oui
480,Traduction,Novalis,Hymnes à la nuit,Aujourd'hui,,,24,,,1930-05-15,p. 3-4,"Contient: Hymnes 1, 2, 3, 4 (fragment), 5 (fragment)",Fait + photocopié,,,Non
481,Traduction,Novalis,"Extrait des Cahiers de Novalis (rubrique ""Textes"")",Aujourd'hui,,,25,,,1930-05-22,p. 5,,Fait + photocopié,,,Non
677,Traduction,Novalis,"Extrait des Cahiers de Novalis (rubrique ""Textes"")",Aujourd'hui,,,34,,,1930-07-24,p. 5,,Fait + photocopié,,,Non
638,Traduction,Novalis,"Extrait des Cahiers de Novalis (rubrique ""Textes"")",Aujourd'hui,,,35,,,1930-07-31,p. 5,,Fait + photocopié,,,Non
639,Traduction,Novalis,"Extrait des Cahiers de Novalis (rubrique ""Textes"")",Aujourd'hui,,,41,,,1930-09-11,p. 5,,Fait + photocopié,,,Non
640,Traduction,Novalis,"Extrait des Cahiers de Novalis (rubrique ""Textes"")",Aujourd'hui,,,42,,,1930-09-18,p. 5,,Fait + photocopié,,,Non
641,Traduction,Novalis,"Extrait des Cahiers de Novalis (rubrique ""Textes"")",Aujourd'hui,,,44,,,1930-10-02,p. 5,,Fait + photocopié,,,Non
642,Traduction,Novalis,"Extrait des Cahiers de Novalis (rubrique ""Textes"")",Aujourd'hui,,,45,,,1930-10-09,p. 5,,Fait + photocopié,,,Non
643,Traduction,Novalis,Les Disciples à Saïs,Aujourd'hui,,Avec une note de Gustave Roud,75,,,1931-05-07,p. 1-2,"Contient: ""Le Disciple"", ""La Nature"", ""Paralipomènes"". Repris en volume chez Mermod.",Fait + photocopié,,,Non
644,Traduction,Novalis,Les Disciples à Saïs,Aujourd'hui,,Avec une note de Gustave Roud,76,,,1931-05-14,p. 3-4,"Contient: ""Le Disciple"", ""La Nature"", ""Paralipomènes"". Repris en volume chez Mermod.",Fait + photocopié,,,Non
645,Traduction,Novalis,Les Disciples à Saïs,Aujourd'hui,,Avec une note de Gustave Roud,78,,,1931-05-28,p. 1-3,"Contient: ""Le Disciple"", ""La Nature"", ""Paralipomènes"". Repris en volume chez Mermod.",Fait + photocopié,,,Non
