f,,CREATOR,TITLE,TITLE_PUB,Texte illustré par une photo prise par Roud,CONTRIBUTOR,NUMBER,PLACE,PUBLISHER,DATE,FORMAT,REUSED,TRANSCRIBED,WEBSITE_INTEREST,DIGITIZED,Original dans le fonds Roud CRLR
,À propos de Roud,Collectif,En hommage à Gustave Roud,Pour l'Art,,,54,,,1957-05(-06),Tout le numéro,,,,,
,À propos de Roud,Collectif,Gustave Roud et Philippe Jaccottet: quelle filiation littéraire ?,Cahiers Gustave Roud,,"éd. Claire Jaquier, Daniel Maggetti et Antonio Rodriguez",15,Lausanne et Carrouge,Association des Amis de Gustave Roud,2014,,,,,,
,À propos de Roud,Collectif,"Gustave Roud, la plume et le regard",,,dir. Daniel Maggetti et Philippe Kaenel,,Gollion,Infolio,2015,,"Philippe Kaenel, ""Dialogue critique avec les artistes (Steven-Paul Robert, René Auberjonois, Jean Lecoultre, Gérard de Palézieux)"", p. 13-51 ; Grégoire Mayor, ""De quel étrange troupeau cherchez-vous la voix ? Gustave Roud au coeur de l'univers paysan"", p. 55-78 ; Antonio Rodriguez, ""Gustave Roud écrivain-photographe, ou que faire du biceps de Fernand en littérature ?"", p. 81- 99 ; Dominique Kunz Westerhoff, """"Quant à la photographie..."" : d'une image l'autre, la pratique photographique du poète promeneur"", p. 101-117 ; Philippe Kaenel, ""Corpus photographique : les reportages, les natures mortes et la couleur"", p. 119-145 ; Guy Poitry, ""Retours et rencontres : compagnons d'armes et d'amours"", p. 147-163 ; Bruno Pellegrino, ""Poète en sursis : Gustave Roud et les revues littéraires"", p. 165-185; Ivana Bogicevic, ""En quête du ""pur regard"" et de la ""voix juste"" : Gustave Roud, critique littéraire"", p. 187-211 ; Stéphane Pétermann, ""Les paradoxes d'un éditeur : Gustave Roud à La Guilde du Livre... et ailleurs"", p. 213-235 ; Irène Weber Henking, ""La traduction, une conquête jamais achevée"", p. 237-255 ; François Vallotton, ""Voix et postures du poète : la présence de Gustave Roud à la radio et à la télévision suisse romande"", p. 257-271 ; Sylviane Dupuis, ""Imiter pour être : de Gustave Roud à Jacques Chessex, la construction d'une filiation"", p. 273-287 ; Claire Jaquier, ""Amour des fleurs, amour des flores"", p. 289-317 ; Daniel Maggetti, ""Le testament du poète : Campagne perdue, recueil exemplaire"", p. 319-343.",,,,
,À propos de Roud,Collectif,"Gustave Roud, le monde des signes et l'univers des choses",,,éd. Daniel Maggetti et Natalia Granero,,Montricher,Fondation Jan Michalski pour l'écriture et la littérature,2015,Catalogue de l'exposition présentée du 27 juin au 25 octobre 2015 à la Fondation Michalski,,,,,
,À propos de Roud,Collectif,Hommage à Gustave Roud,,,,,Lausanne,"éditeurs Jacques Chessex, Bertil Galland, Daniel Laufer, Maurice Maffeï",1957,,,,,,Oui
,À propos de Roud,Collectif,Hommage à Gustave Roud,La Gazette Littéraire,,"Jean Paulhan, Philippe Jaccottet, Pierre-Louis Matthey, Ernest Ansermet, C.-F. Landry, Jacques Chessex.",139,,,1957-06-15(-16),p. 9 et 16,"Avec une photographie de Gustave Roud, un repas paysan. ",,,,
,À propos de Roud,Collectif,Hommages à Gustave Roud,Gazette de Lausanne,,"Georges Anex, John E. Jackson, Pierre-Alain Tache, Doris Jakubec, Anne Perrier, Steven-Paul Robert, Jacques Chessex.",271,,,1976-11-20(-21),"p. 13, 15",,,,,
,À propos de Roud,Collectif,Pages spéciales Gustave Roud,Gazette littéraire,,"Textes de Marcel Raymond ""La poésie de Gustave Roud"", Yves Velan ""Parfois s'élève un chant si pur, si libre, qu'on le dirait naturel…"", Philippe Jaccottet ""Hommage à Gustave Roud"", Jacques Chessex ""Il est un pays que vous nous avez donné"", Maurice Chappaz ""Conseil d'un chien à une sainte"", Jacqueline Langmann ""L'horoscope de Gustave Roud"" Numéro réalisé pour le 70e anniversaire de Roud. Contient également le début de Requiem (Payot, 1967), avec une seule différence : ""des oiseaux la blessent parfois"" (dans le recueil : ""des oiseaux parfois la blessent"").",,,,1967-04-22(-23),s. n. p.,,Fait,,,Non
498,À propos de Roud,Collectif ,Gustave Roud,"José-Flore Tappy, "" État de veille "", p. 3-6 ; Jaquier Claire, "" Gustave Roud, poète du XXe siècle "", p. 7-16 ; Philippe Jaccottet, "" Recherche d'une poétique "", p. 29-31, et "" Ce qu'on arrache à la brume "", p. 32-39 ; Alain Lévêque, "" Une quête de l'être au monde "", p. 43-57 ; Antonio Rodriguez, "" L'ouverture érotique du paradis "", p. 58-67 ; Martine Creac'h, "" Ombres et clartés "", p. 68-84 ; Aline Bergé, "" Depuis la houle "", p. 85-93 ; Pierre-Albert Jourdan, "" Gustave Roud, la maturité "", p. 94-107 ; Daniel Maggetti, "" La poésie en élégie d'elle-même "", p. 116-119 ; Pascal Commère, "" Quelque chose de perdu "", p. 120-133 ; Claude Dourguin, "" Ici-bas déjà "", p. 134-139 ; Dominique Kunz-Westerhoff, "" De l'optique au lyrique "", p. 150-173 ; Anne-Lise Delacrétaz, "" Sur la réédition du Journal "", p. 174-178 ; Yves Leclair, "" Sur un air de solitude "", p. 184-187.",,"José-Flore Tappy, "" État de veille "", p. 3-6 ; Jaquier Claire, "" Gustave Roud, poète du XXe siècle "", p. 7-16 ; Philippe Jaccottet, "" Recherche d'une poétique "", p. 29-31, et "" Ce qu'on arrache à la brume "", p. 32-39 ; Alain Lévêque, "" Une quête de l'être au monde "", p. 43-57 ; Antonio Rodriguez, "" L'ouverture érotique du paradis "", p. 58-67 ; Martine Creac'h, "" Ombre et clartés "", p. 68-84 ; Aline Bergé, "" Depuis la houle "", p. 85-93 ; Pierre-Albert Jourdan, "" Gustave Roud, la maturité "", p. 94-107 ; Daniel Maggetti, "" La poésie en élégie d'elle-même "", p. 116-119 ; Pascal Commère, "" Quelque chose de perdu "", p. 120-133 ; Claude Dourguin, "" Ici-bas déjà "", p. 134-139 ; Dominique Kunz-Westerhoff, "" De l'optique au lyrique "", p. 150-173 ; Anne-Lise Delacrétaz, "" Sur la réédition du Journal "", p. 174-178 ; Yves Leclair, "" Sur un air de Solitude "", p. 184-187.",882,,,2002,p. 3-187,,,,,
,À propos de Roud,Delapierre Roger,Le prix de la Ville de Lausanne au poète joratien Gustave Roud,Journal de Genève,,,86,,,1967-04-14,p. 37,,,,,
,À propos de Roud,Garzarolli Richard,"Essais, chroniques et notes, un événement littéraire: Requiem par Gustave Roud",Revue de Belles-Lettres,,,4,,,1967,p. 32-34,,,,,Oui
,À propos de Roud,Gsteiger Manfred,"Westwind, Aufsätze zur Literatur der romanischen Schweiz",,,,,Berne,Kandelaber Verlag,1968,p. 87-95,,,,,
,À propos de Roud,Hollaert Grietje,"La Manière de Gustave Roud, Radiographie d'un style",,,,,Genève,Slatkine,1991,,,,,,
,À propos de Roud,Jaccottet Philippe,"Chronique de la faculté des lettres, Gustave Roud",Études de lettres,,,,,,1977,p. 103-104,,,,,Oui
,À propos de Roud,Jaccottet Philippe,Dernière visite à Roud,La Nouvelle Revue Française,,,290,,,1977-02,,,,,,Oui
,À propos de Roud,Jaccottet Philippe,Gustave Roud,,,présentation et choix de textes par Philippe Jaccottet,,Paris,Pierre Seghers,1968,,"Rééd. Éditions Universitaires Fribourg, 1982 (augmenté d'un ""Post-scriptum"").",,,,Oui
,À propos de Roud,Jaccottet Philippe,Promenade autour d'un promeneur,La Guilde du Livre,,,6,,,1957-06,p. 214-216,Texte de Jaccottet à l'occasion des 60 ans de Roud.,,,,Oui
,À propos de Roud,Jaccottet Philippe ,Hommage à Gustave Roud,Pour L'Art ,,,56,,,1957-09(-10),,,,,,
,À propos de Roud,Jackson John E.,Roud: des mots pour suppléer le coeur ,Journal de Genève,,,295,,,1982-12-18,p. 14,,,,,
,À propos de Roud,Jackson John E.,"Un double hommage de Gustave Roud: par trois de ses ""descendants"" et par une revue française ",Journal de Genève,,,175,,,1977-07-30,p. 12,,,,,
,À propos de Roud,Jakubec Doris,Le premier témoignage français d'une véritable découverte du poète de Carrouge,Journal de Genève,,,175,,,1977-07-30,p. 12,,,,,
,À propos de Roud,Jaquier Claire,"Gustave Roud et la tentation du romantisme, Fables et figures de l'esthétique littéraire romande 1930-1940",,,,,Lausanne,Payot,1987,,,,,,
,À propos de Roud,Jaquier Claire,"Gustave Roud traducteur, Faire écho au poème original",Journal de Genève,,,295,,,1982-12-18,p. 14,,,,,
,À propos de Roud,Keller Urs,Gustave Roud ou la recherche d'un paradis terrestre,,,,,Zurich,,1971,,,,,,
,À propos de Roud,Kobilijac Ursula,Echoes of Germanic Poetry in the Work of Gustave Roud,,,,,New York,Peter Lang,1993,,,,,,
,À propos de Roud,Lossier Jean-Georges,"Gustave Roud : ""Ivre d'une solitude qui me rendait le monde""",Journal de Genève,,,13,,,1967-04-15(-16),,,,,,
,À propos de Roud,Martin Annie,L'œuvre de Gustave Roud,L'Echo de la Broye,,,"28, 31 et 35",,,1950-06-04 et 1950-04-18 et 1950-05-02,,,,,,
,À propos de Roud,Martin Vio,"A Gustave Roud, d'une terre bien aimée ",La Gazette de Lausanne ,,,91,,,1967-04-20,p. 7,,,,,
,À propos de Roud,Martin Vio ,"Le Repos du cavalier (rubrique ""Notes de lecture"")",Pour L'Art ,,,64,,,1954,p. 36,,,,,
,À propos de Roud,Martinet Jean-Pierre,Le voyageur sur la terre,Matulu,,,17,,,1972,p. 6,,,,,
,À propos de Roud,Muret Colette,"Gustave Roud, poète vaudois",Gazette de Lausanne ,,,107,,,1955-05-07(-08),p. 10,Reproduit une conversation avec le poète.,,,,
,À propos de Roud,Muret Colette,"Mort d'un grand poète vaudois, Gustave Roud n'est plus ",Gazette de Lausanne,,,264,,,1976-11-12,p. 3,"Reprend une lettre que Gustave Roud avait adressé à la journaliste Colette Muret, au sujet d'un Cryptomeria du Japon. En page 7, de la même édition, un hommage de Doris Jakubec.",,,,Non
,À propos de Roud,Nicole Georges,Chronique de la poésie,Suisse contemporaine,,,,,,1944-09,p. 950-954,,,,,Oui
,À propos de Roud,Nicole Georges,"Poèmes de Hölderlin, version française de Gustave Roud",Suisse contemporaine,,,,,,1943-03,p. 282-283,,,,,Oui
,À propos de Roud,Pache Roger,"Mes relations d'amitié avec Gustave Roud, ","Rencontres et Souvenirs, 1914-1984",,,,,Editions du Comte-Vert,1985,,,,,,Oui
630,À propos de Roud,Perrochon Henri,"Gustave roud, poète vaudois",Pour tous ,,,,,,1957-06-11,p. 37,"Avec un auto-portrait de Roud, à sa table de travail. ",,,,
,À propos de Roud,Perrochon Henri,"Le portrait de la semaine, Gustave Roud, poète vaudois",Pour tous,,,24,,,1957-06-11,p. 37,,,,,Non
,À propos de Roud,Pittet Raymond,Le Général et le poète,??,,,,,,1965-11,p. 19,Coupure de presse conservée dans CD 8.,,,,Oui
,À propos de Roud,Salem Gilbert,Gustave Roud,,,,,Lyon,La Manufacture,1986,,,,,,
,À propos de Roud,Santschi Madeleine ,Gustave Roud: Petits riens,,,,,Genève,Zoé,1988,,Autour de Requiem et d'une correspondance.,,,,
,À propos de Roud,Schnyder Peter,"Les Chemins de Gustave Roud, Actes du colloque international organisé par le Centre de recherche sur l'Europe littéraire ",,,,,Strasbourg,Presse universitaire de Strasbourg,2004,,"Peter Schnyder, « Pour saluer Gustave Roud », p. 7-19 ; Pierre-Alain Tâche, « Visites d’un jeune poète à Gustave Roud », p. 23-33 ; Claire Jaquier, « Gustave Roud, une poésie en quête de lieux », p. 37-51 ; BLOCH Peter André, « Gustave Roud, paysagiste », p. 53-69 ; RODRIGUEZ Antonio, « Le jardin du deuil : de la mère à la merveille », p. 71-80 ; KUNZ-WESTERHOFF Dominique, « Photogénies. Les poétiques de la transparence, de Gustave Roud à Francis Ponge », p. 83-103 ; HEISSLER Déborah, « Requiem blanc et or, les couleurs du crépuscule », p. 105-129 ; LAFOND Natacha, « Le lyrisme de Gustave Roud entre le lied et la fugue », p. 131-147 ; MORTAL Anne, « La poésie comme adieu », p. 151-164 ; PIERROT Jean, « Le bain d’Aimé », p. 165-195 ; MASCAROU Alain, « Le ""rêve de fusion"" dans Campagne perdue », p. 197-211 ; FRISSON Marie, « Rejoindre le monde. Sur Le monde réel de Gustave Roud », p. 213-222 ; DUPOUY Christine, « Gustave Roud. Les Fleurs et les saisons », p. 223- 234 ; DELACRÉTAZ Anne-Lise, « Gustave Roud : Journal inédit. Présentation » p. 237-238 ; ROUFFIAT Françoise, « Du Journal au poème », p. 247-272 ; TAPPY José-Flore, « Gustave Roud – Philippe Jaccottet, 1942-1976. Une correspondance hors du temps ? », p. 275-285 ; BÖSCHENSTEIN Bernard, « Gustave Roud traducteur de Hölderlin et Trakl : “Hélian” et “Patmos” », p. 289-300 ; DEGOTT Bertrand, « De Gustave Roud à Roland Bouhéret », p. 303-315 ; FLEURY Nicolas, « Les chemins de Gustave Roud », p. 325-337",,,,
,À propos de Roud,Tauxe Henri-Charles,Des richesses poétiques existent dans notre pays portées par ceux qui vivent et qui meurent ,La Gazette de Lausanne ,,,85,,,1967-04-13,p. 9,,,,,
,À propos de Roud,Tauxe Henri-Charles,Expositon Gustave Roud,La Gazette de Lausanne ,,,93,,,1967-04-22(-23),p. 5,,,,,
,À propos de Roud,Tauxe Henri-Charles,Gustave Roud et ses amis,La Gazette de Lausanne ,,,87,,,1967-04-15(-16),p. 37,"Interview du poète, à l'occasion du Prix de la Ville de Lausanne.",,,,
,À propos de Roud,Titus-Carmel Gérard,Gustave Roud: une solitude dans les saisons,,,,,Paris,J.-M. Place,2005,,,,,,
,À propos de Roud,Vincent Gilbert,"Gustave Roud, Point de vue d'un homme discret",,,,,Lausanne,L'Âge d'Homme,1981,,,,,,Oui
,À propos de Roud,Weber-Perret Myrian,Ecrivains romands 1900-1950,,,,,Lausanne,Editions Vie,1951,p. 230-236,,,,,Oui
,À propos de Roud,Simond Daniel,Gustave Roud,"Journal du dimanche?, hebdomadaire de La Revue de Lausanne",,,,,,1934-08-12,?,"Trouvé dans le Fonds Éd. Martinet, BCUL IS 1994/3 b/33",,,,
,À propos de Roud,Anex Georges,"Gustave Roud, ce voyageur jamais arrivé",La Vie protestante,,,,,,1967-04-07,p. 7,,,,,
,À propos de Roud,Schwendimann Max A.,Gustave Roud,Der Bund,,,,,,1968-01-26,p. ?,,,,,
409,À propos de Roud,Nicole Jean,Horizons d’une conscience poétique,Gazette de Lausanne,,,,,,1972-04-15/16,p. 23,"Longs propos de Roud, recueillis par Jean Nicole",Fait,,,Oui
,À propos de Roud,Anex Georges,"C'est arrivé en 1967, ""Requiem"" de Gustave Roud",Gazette de Lausanne,,,,,,1967-12-30(31),,,,,,Fonds Daniel Simond
,À propos de Roud,I. d. B. Marie-Anne ,"Gustave Roud, le chantre du Jorat ",Feuille d'avis de Lausanne,,,,,,1959-03-04,p. 4,"Avec une ou deux photographies de Gustave Roud,",,,,Fonds Daniel Simond
,À propos de Roud,G. R. ,"Remise du Prix de Lausanne à G. Roud, Le poète rend hommage au Lausanne de sa jeunesse",Feuille d'avis de Lausanne,,,85,,,1967-04-13,p.17,,,,,Fonds Daniel Simond
,À propos de Roud,Jaccottet Philippe,Gustave Roud et la Suisse française,La Gazette Littéraire ,,,,,,1967-11-25(26),,,,,,Fonds Daniel Simond
,À propos de Roud,?,Gustave Roud de Philippe Jaccotet,La Gazette Littéraire,,,,,,1968-06-01(02),p. 24,Sur l'essaie de Philippe Jaccottet sur Gustave Roud,,,,Fonds Daniel Simond
,À propos de Roud,M.M.,"Ecrivains de chez nous, Gustave Roud [interview]",Organe de l'Association romande du personnel de la librairie et de l'édition,,,4,,,1968-09,p. 3-5,,,,,Fonds Daniel Simond
,À propos de Roud,Pe. J.,"Pierre Seghers, fêté à Lausanne, révèle G. Roud à la France",Feuille d'avis de Lausanne,,,,,,1968-03-11,,,,,,Fonds Daniel Simond
,À propos de Roud,G. R. ,Gustave Roud fête ses 75 ans,Tribune de Lausanne,,,,,,1972-04-16,p. 7,,,,,Fonds Daniel Simond
,À propos de Roud,Aubert Claude,Présentation du poète Gustave Roud,Journal de Genève,,,,,,1945-09-08(-09),,,,,,Fonds Daniel Simond
,À propos de Roud,Chessex Jacques,"Gustave Roud, par Jacques Chessex",La Gazette littéraire,,,171,,,1956-07-21(22),p. 1,,,,,Fonds Daniel Simond
,À propos de Roud,G.,Les meilleurs artistes vaudois rendent hommage au poète Gustave Roud,Tribune de Lausanne,,,,,,1957-06-09,p. 11,"Interview des organisateurs de la manifestations ""Fête des lettres Vaudoises""",,,,Fonds Daniel Simond
,À propos de Roud,Clerc Charly,"Aus dem westschweizerischen Literaturkreis, Gustave Roud",Neu Zürcher Zeitung,,,,,,1957-08-04,,,,,,Fonds Daniel Simond
,À propos de Roud,d'Aguila Carlos,En ce pays,Le Démocrate et feuille d'avis du district de Payerne,,,97,,,1967-12-13,p. 14,"Critique de ""Requiem""",,,,Fonds Daniel Simond
,À propos de Roud,Tâche Pierre-Alain,"Gustave Roud: ""Requiem""",Tribune de Lausanne,,,,,,1968-01-14,p. 14,,,,,Fonds Daniel Simond
,À propos de Roud,Tâche Pierre-Alain,Philippe Jaccottet présente Gustave Roud,Tribune de Lausanne,,,,,,1968-04-14,,,,,,Fonds Daniel Simond
,À propos de Roud,Santschi Madeleine,"Gustave Roud et la déchiffrage du ""Requiem""",Feuille d'avis de Lausanne,,,,,,1969-01-15,p. 13,,,,,Fonds Daniel Simond
,À propos de Roud,Acatos Sylvio,Gustave Roud: la lumière et l'ombre,Construire,,,,,,1972-09-20,,,,,,Fonds Daniel Simond
,À propos de Roud,Le promeneur solitaire,"Retour au Jorat (rubrique ""Les quatre points cardinaux"")",Gazette de Lausanne,,,,,,1960-02-27,p. 3,,,,,Fonds Daniel Simond
,À propos de Roud,Jaccottet Philippe,Écrits de Gustave Roud,La Nouvelle revue de Lausanne ,,,227,,,1950-09-29,p. 1,,,,,Fonds Daniel Simond
,À propos de Roud,Humeau Edmond,Hommage à Roud,"Arts (rubrique ""Courrier des lettres"")",,,,,,1950-11-10,,,,,,Fonds Daniel Simond
,À propos de Roud,Cornuz Jeanlouis,Écrits de Gustave Roud,Feuille d'avis de Lausanne,,,,,,1950-11-18,p. 2,,,,,Fonds Daniel Simond
,À propos de Roud,Chessex Jacques,"Après la journée des lettres vaudoises, Signification d'une fête",,,,,,,1957-06-23,,,,,,Fonds Daniel Simond
,À propos de Roud,Bonnard Olivier,"Gustave Roud, Campagne perdue (rubrique ""Moments littéraires"")",Gazette de Lausanne,,,,,,1972-09-16(-18),,,,,,Fonds Daniel Simond
,À propos de Roud,Tauxe Henri-Charles,Les 75 ans de Gustave Roud,Feuillle d'Avis de Lausanne,,,,,,1972-03-??,,,,,,Fonds Daniel Simond
,À propos de Roud,Landry Charles-François,Lettre à Gustave Roud que va honorer la Ville de Lausanne et qui fête ses septante ans,Feuillle d'Avis de Lausanne,,,,,,1967-04-07,p. 41,,,,,Fonds Daniel Simond
,À propos de Roud,Chastonay Jacques de,"Une fatalité de solitude, Gustave Roud",Dialogue,,,2,,,1967-05,p. 3,,,,,Fonds Daniel Simond
,À propos de Roud,Tauxe Henri-Charles,Gustave Roud poète,Gazette Littéraire,,,,,,1967-03-18(-19),,,,,,Fonds Daniel Simond
,À propos de Roud,s.i.a,"Le ""Prix de la Ville de Lausanne"" a été remis hier à Gustave Roud",La Tribune de Lausanne,,,,,,1967-04-13,p. 9,,,,,Fonds Daniel Simond
,À propos de Roud,,"Le ""Prix de Lausanne"" 1967 attribué à Gustave Roud",Tribune de Lausanne,,,,,,1967-02-67,,,,,,Fonds Daniel Simond
,À propos de Roud,Vuilleumier Jean,Trois écrivains au pays des ombres,Tribune de Genève,,,,,,1968-02-14,,,Pas fait,,,"Non (IS 5178 VIII…, Raphaël Aubert)"
,À propos de Roud,Lacôte René,"Gustave Roud, Philippe Jaccottet, Jean-Claude Grosjean",?,,,,,,1968-05-08,,,Pas fait,,,"Non (IS 5178 VIII…, Raphaël Aubert)"
,À propos de Roud,H. S. ,"Requiem (rubrique ""Vient de paraître"")",Le Courrier de Berne,,,,,,1967-12-22,,,Pas fait,,,"Non (IS 5178 VIII…, Raphaël Aubert)"
,À propos de Roud,A. L. ,Gustave Roud,Le Messager social,,,,,,?,,,Pas fait,,,"Non (IS 5178 VIII…, Raphaël Aubert)"
,À propos de Roud,ATS,"Pour les 70 ans de Gustave Roud, Outre le Prix de Lausanne une édition de ses œuvres",Feuille d'Avis de Lausanne,,,,,,1967-03-16,,,Pas fait,,,"Non (IS 5178 VIII…, Raphaël Aubert)"
,À propos de Roud,Perrochon Henri,"En ce pays (rubrique ""chronique littéraire"")",Le Démocrate et Feuille d'avis du district de Payerne / Journal de Sierre,,,,,,1967-12-13 / 1968-01-05,,,Pas fait,,,"Non (IS 5178 VIII…, Raphaël Aubert)"
,À propos de Roud,Deriex Suzanne,VIsite à Gustave Roud,L'Impartial,,,,,,1967-04-27,,,Pas fait,,,"Non (IS 5178 VIII…, Raphaël Aubert)"
,À propos de Roud,s.n.a.,Au rendez-vous des 3 poètes,Journal de Genève,,,,,,1967-11-26,,,Pas fait,,,"Non (IS 5178 VIII…, Raphaël Aubert)"
,À propos de Roud,s.n.a.,"""Requiem"" de Gustave Roud",L'Éducateur,,,,,,1968-02-09,,,Pas fait,,,"Non (IS 5178 VIII…, Raphaël Aubert)"
,À propos de Roud,V. Ph.,"L'actualité de la semaine, Le ""Requiem"" de Gustave Roud",Feuille d'Avis de Lausanne,,,,,,1967-12-08,,,Pas fait,,,"Non (IS 5178 VIII…, Raphaël Aubert)"
,À propos de Roud,Lossier Jean-Georges,Des ponts sur l'abîme,Journal de Genève,,,,,,1968-02-03,,,Pas fait,,,"Non (IS 5178 VIII…, Raphaël Aubert)"
,À propos de Roud,H. S. ,Des livres pour Noël,Feuille d'Avis du district d'Aigle,,,,,,1967-12-15,,,Pas fait,,,"Non (IS 5178 VIII…, Raphaël Aubert)"
,À propos de Roud,Pache Jean,Gustave Roud poète d'aujourd'hui,Feuille d'Avis de Lausanne,,,,,,1968-03-23(-24),,,Pas fait,,,"Non (IS 5178 VIII…, Raphaël Aubert)"
,À propos de Roud,s.n.a.,"""Requiem"" par Gustave Roud","Radio, Je vois tout",,,,,,1968-02-15,,,Pas fait,,,"Non (IS 5178 VIII…, Raphaël Aubert)"
,À propos de Roud,Anet Daniel,Écoutons mieux Gustave Roud,Le Messager social,,,,,,1968-03-25,,,Pas fait,,,"Non (IS 5178 VIII…, Raphaël Aubert)"
,À propos de Roud,Gander Bernard,Rencontre avec Gustave Roud,La Nouvelle Revue de Lausanne,,,,,,1968-03-29,,,Pas fait,,,"Non (IS 5178 VIII…, Raphaël Aubert)"
,À propos de Roud,Landry C.-F.,Lettre ouverte à Gustave Roud pour son ouvrage Requiem,Coopération,,,,,,1968-03-30,,,Pas fait,,,"Non (IS 5178 VIII…, Raphaël Aubert)"
,À propos de Roud,Depoissier Claude,"Auteurs de chez nous, ""Requiem"" de Gustave Roud","Radio, Je vois tout",,,,,,1968-02-15,,,Pas fait,,,"Non (IS 5178 VIII…, Raphaël Aubert)"
,À propos de Roud,B. Gr.,"Un grand événement littéraire, Pierre Seghers vient d'éditer un ""Gustave Roud"", présenté par Philippe Jaccottet",La Nouvelle Revue de Lausanne,,,,,,1968-03-11,,,Pas fait,,,"Non (IS 5178 VIII…, Raphaël Aubert)"
,À propos de Roud,B. L.,Le retour de Gustave Roud,Le Commerçant,,,,,,1968-03,,,Pas fait,,,"Non (IS 5178 VIII…, Raphaël Aubert)"
,À propos de Roud,Collectif,"Gustave Roud a septante ans aujourd'hui, L'hommage de quelques amis",Feuille d'Avis de Lausanne,,"Textes du Dr Jean Bovey, Henri Gaberel, Suzanne Deriex, Jean Pache et Henri Perrochon",,,,1967-04-20,,,,,,Oui
,À Propos de Roud traducteur ,Jean Guérin,Sur les poèmes de Georg Trakl,La Nouvelle Nouvelle Revue Française,,,30,Paris,,1955-06,p. 1119-1121,"Note sur l'étude de Roud sur Trakl parue dans Formes et Couleurs en 1948 avec des traductions de Roud. Jean Guérin est un pseudonyme derrière lequel se cachent tous les membres du comité du prériodique, mais surtout Paulhan, comme c'est le cas ici.",Pas fait,,,Non
,À Propos de Roud traducteur ,André Rolland de Renéville,"Les Disciples à Saïs (rubrique ""Revue des revues"")",La Nouvelle Revue Française,,,216,Paris,,1931-09,p. 509-510,Note sur les traductions de Roud parues dans Aujourd'hui en 1931.,Pas fait,,,Non
444,Correspondance,Auberjonois René,"Avant les autruches, après les iguanes…, Lettres à Gustave Roud, 1922-1954",,,éd. et présentation Doris Jakubec et Claire de Ribaupierre , collab. Valérie Panchaud,Dorigny,"Payot, Centre de recherches sur les lettres romandes",1999,,,,,,
430,Correspondance,Roud Gustave et Béguin Albert,Lettres sur le romantisme allemand,,,"introduction de Pierre Grotzer, notes et choix de textes de Françoise Fornerod",,Lausanne,Études de lettres,1974,,,,,,Oui
